line;display_name;contains;info;morning;afternoon;evening
EFFE 500;Efferalgan 500;Paracetamol 500mg;"Công dụng (Chỉ định)
Thuốc này chứa paracetamol.
Thuốc dùng điều trị các chứng đau và/hoặc sốt như đau đầu, tình trạng như cúm, đau răng, nhức mỏi cơ, đau bụng kinh.  Liều dùng
LIỀU DÙNG PHẢI ĐƯỢC TÍNH THEO CÂN NẶNG CỦA TRẺ. Tuổi thích hợp tương ứng với cân nặng được trình bày bên dưới chỉ để tham khảo. Để tránh nguy cơ quá liều, cần kiểm tra và xác nhận các thuốc dùng kèm (bao gồm cả thuốc kê đơn và không kê đơn) không chứa paracetamol. Dạng thuốc này chỉ dùng cho người lớn và trẻ em có cân nặng trên 17kg (khoảng 5 tuổi trở lên).
Đối với trẻ em:
Liều paracetamol hàng ngày tính theo cân nặng của trẻ, tuổi của trẻ chỉ để tham khảo, hướng dẫn. Nếu không biết cân nặng của trẻ, cần phải cân trẻ để tính liều thích hợp nhất.
Paracetamol có nhiều dạng phân liều khác nhau để điều trị thích hợp tùy theo cân nặng của từng trẻ.
Liều khuyên dùng hàng ngày của paracetamol phụ thuộc vào cân nặng của trẻ: khoảng 60mg/kg/ngày, chia ra làm 4 lần hoặc 6 lần, tương đương khoảng 15mg/kg mỗi 6 giờ, hoặc 10mg/kg mỗi 4 giờ. Liều tối đa mỗi ngày không được vượt quá 3g.
Không uống nguyên viên thuốc. Hòa tan hoàn toàn viên thuốc trong một ly nước trước khi uống. 
CÁCH DÙNG VÀ ĐƯỜNG DÙNG:
Dùng đường uống.
Hòa tan hoàn toàn viên thuốc trong một ly nước lớn và uống.
Nếu trẻ sốt trên 38,5°C, hãy làm những bước sau đây để tăng hiệu quả của thuốc điều trị:
- Cởi bỏ bớt quần áo của trẻ.
- Cho trẻ uống thêm chất lỏng.
- Không để trẻ ở nơi quá nóng.
- Nếu cần, tắm cho trẻ bằng nước ấm, có nhiệt độ thấp hơn 2°C so với thân nhiệt của trẻ.
THỜI GIAN ĐIỀU TRỊ:
Thời gian điều trị được giới hạn:
- Đến 5 ngày trong các trường hợp đau.
- Đến 3 ngày trong các trường hợp sốt.
Nếu cơn đau kéo dài hơn 5 ngày hoặc sốt kéo dài hơn 3 ngày và nếu tình trạng này xảy ra nghiêm trọng hơn hoặc có bất kỳ triệu chứng khác, không được tiếp tục sử dụng thuốc mà không có sự đồng ý của bác sĩ hoặc dược sĩ của bạn.";1;1;1
BIAFINE PD;Biafine;Trolamine;"Liều dùng
Những thông tin được cung cấp không thể thay thế cho lời khuyên của các chuyên viên y tế. Hãy luôn tham khảo ý kiến bác sĩ hoặc dược sĩ trước khi quyết định dùng thuốc.
Liều dùng thuốc Biafine® cho người lớn như thế nào?
Liều thông thường cho người lớn bị bỏng độ 1
Bạn bôi và xoa nhẹ một lớp thuốc dày đến khi không còn được hấp thu nữa. Bạn lặp lại 2 đến 4 lần mỗi ngày.
Liều thông thường cho người lớn bị bỏng độ 2 và bị các vết thương ngoài da khác
Sau khi rửa vết thương, bạn bôi một lớp thuốc dày phủ bề mặt tổn thương và bôi lặp lại để duy trì một lớp thừa trên vùng tổn thương. Nếu cần, bạn có thể phủ một miếng gạc ẩm và băng lại. Bạn không được dùng băng hấp thu khô.
Liều thông thường cho người lớn bị đỏ da do đốt laser hoặc xạ trị
Bạn bôi và xoa nhẹ 2 đến 3 lần mỗi ngày, khoảng cách giữa các lần bôi đều nhau.
Liều dùng thuốc Biafine® cho trẻ em như thế nào?
Bạn cho trẻ dùng liều tương tự như người lớn.
Cách dùng
Bạn nên dùng thuốc Biafine® như thế nào?
Bạn phải đọc kĩ hướng dẫn sử dụng trước khi dùng. Bạn hãy hỏi bác sĩ hoặc dược sĩ về bất kì điều gì bạn không rõ liên quan đến việc dùng thuốc.
Bạn phải dùng thuốc theo đúng chỉ định của bác sĩ, không được dùng nhiều hơn hoặc ít hơn so với liều chỉ định, không được tự ý ngưng thuốc nếu không có sự cho phép của bác sĩ.
Bạn nên làm gì trong trường hợp dùng quá liều?
Trong trường hợp khẩn cấp hoặc quá liều, gọi ngay cho Trung tâm cấp cứu 115 hoặc đến trạm Y tế địa phương gần nhất.";1;1;1
AXEL HYDROCORTISONE CREAM;Kem bôi trị viêm da Axcel Hydrocortisone tuýp 15g;Hydrocortisone;"Dược lực học
Hydrocortisone là 1 loại steroid tổng hợp có tác dụng chống viêm, chống dị ứng, chống ngứa và ức chế miễn dịch.
Hydrocortisone có hoạt tính dược học chủ yếu trên sự thoái biến glucose, sự phân giải glycogen và sự chuyển hóa protein và calci.
Dược động học
Hydrocortisone hấp thu tốt qua da, đặc biệt khi da bị tổn thương.
Sau khi hấp thu, hydrocortisone chuyển hóa ở gan và ở hầu hết các mô trong cơ thể thành dạng hydro hóa và tetrahydrocortisol. Các chất này được bài tiết qua nước tiểu, chủ yếu dưới dạng liên hợp glucuronic và một lượng nhỏ dưới dạng không biến đổi.
Chỉ định/Công dụng
Điều trị triệu chứng các bệnh về da sau:
Bệnh da do dị ứng và viêm da tiếp xúc trong đó có cả phức bộ liken hóa mạn tính, tổn thương do côn trùng đốt, viêm da (eczema dị ứng gồm cả eczema trẻ em do thức ăn và viêm da do nấm bị chàm hóa), viêm bì thần kinh và viêm da thần kinh, viêm da dạng eczema, eczema dạng đồng xu, eczema ở tay và chân, tổ đỉa, ngứa không đặc hiệu ở vùng sinh dục, viêm môi, viêm da tuyến bã và hăm, liken phẳng.
Liều lượng & Cách dùng
Thuốc chỉ dùng ngoài da.
Bôi 1 lượng thuốc nhỏ lên trên vùng da bị bệnh 2 đến 3 lần hàng ngày sau khi đã rửa sạch vùng da đó 1 cách nhẹ nhàng. Khi thấy có chuyển biến tốt, việc dùng thuốc có thể giảm còn 1 đến 2 lần.
Không nên dùng thuốc quá 2 tuần. Khi thấy bệnh đã khỏi, nên ngừng thuốc. Nếu dùng thuốc được 2 tuần mà không thấy có đáp ứng, phải ngừng thuốc và xem lại việc chẩn đoán. 
Quá Liều
Khi có biểu hiện quá liều cần phải giảm liều hoặc dừng thuốc từ từ và điều trị triệu chứng. Trong quá trình điều trị cần tiến hành các nghiên cứu trong phòng thí nghiệm và nghiên cứu về chuyển hóa, đánh giá lượng dịch vào và dịch ra, theo dõi cân nặng để theo dõi báo hiệu sớm về tình trạng ứ dịch. Có thể phải hạn chế lượng muối vào cơ thể dưới 1 g/ngày và cung cấp thêm kali.
Chống chỉ định
Lao da, nhiễm nấm, thủy đậu, tiêm phòng vaccine, nhiễm Herpes simplex.
Mẫn cảm với bất kỳ thành phần nào của thuốc.
Không nên dùng mỡ Axcel Hydrocortisone ở tai nếu màng nhĩ bị thủng.
Sử dụng ở phụ nữ có thai và cho con bú
Độ an toàn khi sử dụng hydrocortisone bôi ngoài da cho phụ nữ có thai và cho con bú chưa được thiết lập. Vì vậy, không nên bôi thuốc trên diện rộng và dài ngày khi sử dụng cho phụ nữ có thai và cho con bú.
Tương tác
Chưa có báo cáo về tương tác thuốc khi sử dụng hydrocortisone bôi ngoài da với các thuốc khác.
Tác dụng ngoại ý
Rạn da có thể gặp đặc biệt ở những vùng bị hăm. Tình trạng khô da cũng có thể gặp.
Thận trọng
Hydrocortisone có thể che dấu hoặc thúc đẩy các tình trạng nhiễm khuẩn giai đoạn đầu. Nếu có khả năng nhiễm khuẩn, cần cân nhắc việc dùng các trị liệu bổ sung (ví dụ như kháng sinh) và nếu nhiễm trùng không có đáp ứng nhanh chóng với trị liệu thì cần ngưng việc dùng thuốc hydrocortisone cho tới khi kiểm soát được tình trạng nhiễm khuẩn. Các tác dụng không mong muốn toàn thân có thể xảy ra khi dùng ở diện rộng. Không nên dùng thuốc với biện pháp băng kín. Mặc dù hydrocortisone thường hiệu quả trong điều trị các triệu chứng của các bệnh ngoài da, nhưng vẫn cần tìm và điều trị các nguyên nhân của bệnh nếu có thể. Tránh dùng thuốc kéo dài ở trẻ nhỏ, phụ nữ có thai và cho con bú.
Tác động trên khả năng lái xe và vận hành máy móc
Không ảnh hưởng.";1;1;1
CETAPHIL 125;Sữa Rửa Mặt Cetaphil Gentle Skin Cleanser 125ml;CETAPHIL 125;"Giúp làm sạch da, không gây kích ứng da
giảm thiểu chất nhờn trên mặt, giúp làn da trông tươi trẻ
Phù hợp mọi loại da
Sữa Rửa Mặt Cetaphil Gentle Skin Cleanser (125ml) có công thức không xà phòng đã đạt được nhiều giải thưởng trong lĩnh vực làm đẹp và chăm sóc sức khỏe.
Sữa rửa mặt dịu nhẹ Cetaphil với công thức đặc biệt để giảm thiểu chất nhờn trên mặt, tẩy sạch bụi bẩn và trang điểm mà không làm cho da bạn bị khô ráp
Cetaphil Gentle Skin Cleanser có công thức phù hợp cho mọi loại da, kể cả da em bé.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, ...
";1;1;1
GILOBA 40;Thuốc tăng cường tuần hoàn não Giloba 40mg;GILOBA 40;"Công dụng thuốc Giloba là gì?
Giloba được dùng cho các trường hợp sau:
Suy tuần hoàn não và các biểu hiện chức năng: chóng mặt, nhức đầu, giảm trí nhớ, giảm khả năng nhận thức, rối loạn vận động, rối loạn cảm xúc và nhân cách.
Di chứng tai biến mạch máu não và chấn thương sọ não.
Rối loạn mạch máu ngoại biên: bệnh động mạch chi dưới, hội chứng Raynaud, tê lạnh và tím tái đầu chi.
Rối loạn thần kinh cảm giác, tuần hoàn ở mắt, tai mũi họng.
Phòng ngừa và làm chậm quá trình tiến triển của bệnh Alzheimer (sa sút trí tuệ ở người lớn tuổi).  Cách dùng thuốc Giloba
Bạn nên dùng thuốc Giloba như thế nào?
Bạn phải đọc kĩ hướng dẫn sử dụng trước khi dùng. Bạn hãy hỏi bác sĩ hoặc dược sĩ về bất kì điều gì bạn không rõ liên quan đến việc dùng thuốc.
Bạn phải dùng thuốc theo đúng chỉ định của bác sĩ, không được dùng nhiều hơn hoặc ít hơn so với liều chỉ định, không được tự ý ngưng thuốc nếu không có sự cho phép của bác sĩ.
Bạn nên làm gì trong trường hợp dùng quá liều?
Trong trường hợp khẩn cấp hoặc quá liều, gọi ngay cho Trung tâm cấp cứu 115 hoặc đến trạm Y tế địa phương gần nhất.
Ngoài ra, bạn cần ghi lại và mang theo danh sách những loại thuốc bạn đã dùng, bao gồm cả thuốc kê toa và thuốc không kê toa.
Bạn nên làm gì nếu quên một liều?
Nếu bạn quên dùng một liều thuốc, hãy dùng càng sớm càng tốt. Tuy nhiên, nếu gần với liều kế tiếp, hãy bỏ qua liều đã quên và dùng liều kế tiếp vào thời điểm như kế hoạch. Không dùng gấp đôi liều đã quy định.  Trước khi dùng thuốc Giloba, bạn nên lưu ý những gì?
Trước khi dùng thuốc, bạn nên báo cho bác sĩ hoặc dược sĩ nếu:
Bạn bị dị ứng với bất kì thành phần nào của thuốc
Bạn đang gặp bất kì vấn đề nào về sức khỏe
Bạn bị dị ứng với thức ăn, hóa chất, thuốc nhuộm hoặc bất kì con vật nào
Bạn đang mang thai hoặc cho con bú.";1;1;1
VENTOLIN SP EXP;Siro Ventolin Expectorant;Salbutamol sulphate, Guaifenesin;"Ventolin Expectorant là thuốc gì?
Ventolin Expectorant được biết đến là một thuốc do công ty GlaxoSmithKline Australia Pty Ltd – Úc sản xuất với công dụng giảm co thắt cơ trơn phế quản, cải thiện thông khí, điều trị một số bệnh đường hô hấp như hen phế quản, viêm phế quản mạn tính.
Mỗi 5 ml siro Ventolin expectorant chứa:
Salbutamol (dưới dạng muối sulphate) có hàm lượng 1 mg
Guaifenesin hàm lượng 50 mg
Và các tá dược (gồm: Hydroxypropyl methylcellulose, Na benzoate, Saccharin Na. Lactic add, Na hydroxide, Hương vị cam IFF, nước tinh khiết) vừa đủ như nhà sản xuất quy định.
Thuốc Ventolin Expectorant có dạng bào chế duy nhất là siro.
Thuốc Ventolin Expectorant giá bao nhiêu? Mua ở đâu?
Một hộp thuốc Ventolin Expectorant gồm 1 lọ siro 60 ml, được bán rộng khắp trên các cơ sở nhà thuốc trên toàn quốc. Giá một hộp dao động trong khoảng 24.000 VNĐ, giá bán không cố định với từng nhà thuốc khác nhau. Hiên nay, thuốc Ventolin Expectorant đang được bán tại nhà thuốc Ngọc Anh, có hỗ trợ giao hàng trên toàn quốc.
Ventolin Expectorant thuộc danh mục thuốc kê đơn, bệnh nhân đến mua thuốc tại nhà thuốc cần nhớ mang theo đơn thuốc được bác sĩ kê.
Hiện nay tình trạng thuốc kém chất lượng đã xuất hiện ở một số nơi, bạn nên tìm đến những cơ sở uy tín để mua được sản phẩm chất lượng nhất.
Tham khảo một số thuốc tương tự:
Thuốc Ventolin Nebules được sản xuất bởi công ty GlaxoSmithKline Australia Pty Ltd – Úc.
Tác dụng
Ventolin Expectorant là sự kết hợp của 2 hoạt chất là Salbutamol và Guaifenesin nên sản phẩm mang đầy đủ tác dụng dược lí của cả hai hoạt chất này.
Salbutamol là một chất kích thích chọn lọc trên thụ thể beta 2 – adrenergic. Các thụ thể beta 2 – adrenergic này có ở cơ trơn phế quản, cơ trơn mạch máu và cơ trơn tử cung. Do đó Salbutamol được biết đến với tác dụng giúp làm giảm tình trạng co thắt tử cung và làm giãn cơ trơn mạch máu, tăng lưu thông máu trong cơ thể, giảm tình trạng tắc mạch và đặc biệt đây là một thuốc mang lại hiệu quả cao trong điều trị hen phế quản, giúp làm giãn cơ trơn hô hấp, tăng thông khí. Tuy nhiên nếu sử dụng Salbutamol ở liều cao có thể kích thích lên các receptor beta1 và beta3 của hệ adrenergic gây tăng nhịp tim, tăng tiết renin ở cầu thận và tăng quá trình phân huỷ lipid,…. Salbutamol cũng được sử dụng như một chất tạo nạc trong chăn nuôi khi sử dụng ở liều cao do thuỷ phân lipid, tăng thoái hoá mỡ.
Guaifenesin là một thuốc long đờm, giảm tình trạng tắc nghẽn đường hô hấp, hỗ trợ thông khí. Guaifenesin hoạt động dựa trên cơ chế làm lỏng và làm giảm độ nhầy dính của các dịch tiết trong khí, phế quản đồng thời làm tăng phản xạ ho, giúp tống đờm ra khỏi cơ thể. Bên cạnh đó Guaifenesin cũng có tác dụng giãn cơ, giảm co giật, giảm cảm giác khó chịu ở người bệnh.
Sự kết hợp của 2 hoạt chất đều có lợi cho hệ hô hấp trong Ventolin Expectorant giúp hỗ trợ giảm liều dùng của thuốc và làm tăng tác dụng, rút ngắn thời gian điều trị bệnh.
Công dụng – Chỉ định
Ventolin Expectorant được các bác sĩ sử dụng phổ biến trong điều trị các bệnh đường hô hấp như:
Hen phế quản
Tắc nghẽn đường hô hấp do đờm hay một số dị vật đường hô hấp
Rối loạn chức năng đường hô hấp do co thắt khí phế quản trong hen phế quản hay tăng tiết dịch nhầy trong viêm phế quản mạn tính,…";1;1;1
IndoCollyre eye;IndoCollyre eye;Indomethacin;"Ức chế co đồng tử trong phẫu thuật, phòng ngừa viêm do đục thủy tinh thể và tiêm phòng, giảm đâu sau phẫu thuật trị khúc xạ.  Ức chế co đồng tử trong phẫu thuật 4 giọt vào ngày trước khi mổ, 4 giọt trong vòng 3 giờ trước khi mổ. Phòng ngừa viêm khi phẫu thuật đục thủy tinh thể & tiền phòng 1 giọt, 4 - 6 lần/ngày cho đến khi hết các triệu chứng, bắt đầu 24 giờ trước khi mổ. Giảm đau sau phẫu thuật trị khúc xạ 1 - 4giọt, 6 lần/ngày x vài ngày sau phẫu thuật.  Chống chỉ định trong các trường hợp sau: Mang thai từ 6 tháng trở lên. Có tiền sử dị ứng với diclofenac hoặc các thuốc có tác dụng tương tự, ví dụ như các thuốc chống viêm phi steroid (NSAIDs) khác hoặc aspirin. Có tiền sử lên cơn hen do aspirin hoặc các NSAIDs khác. Loét dạ dày, hành tá tràng trong gian đoạn tiến triển. Suy gan nặng. Suy thận nặng. Nói chung không nên dùng đồng thời với các thuốc sau: thuốc chống đông máu đường uống. Các NSAIDs khác (bao gồm cả các salicylat khi dùng liều cao: trên 3g/ngày ở người lớn). Heparin, Lithium, Methotrexate liều cao (> 15 mg/tuần), Ticlopidine. Nếu có nghi ngờ, đừng ngần ngại hỏi ý kiến bác sỹ hoặc dược sỹ.";1;1;1
TRANSAMIN 500;Thuốc cầm máu Transamin 500mg;Tranexamic acid 500mg;"Xu hướng chảy máu được coi như liên quan tới tăng tiêu fibrin (bệnh bạch huyết, thiếu máu không tái tạo, ban xuất huyết, v.v, và chảy máu bất thường trong và sau khi phẫu thuật). Chảy máu bất thường được coi như liên quan tới tăng tiêu fibrin tại chỗ (chảy máu ở phổi, mũi, bộ phận sinh dục, hoặc thận hoặc chảy máu bất thường trong khi hoặc sau phẫu thuật tuyến tiền liệt). Rong kinh.  Đối với người lớn thông thường: uống 750 - 2000mg acid tranexamic/ngày chia 3 hoặc 4 lần. Liều dùng: viên nén Transamin 500mg 2 - 4 viên/ngày chia 3 hoặc 4 lần (có thể được điểu chỉnh tùy thuộc vào tuổi và các triệu chứng của bệnh nhân). Trong chỉ định rong kinh, liều khuyến cáo cho người lớn: 1g (2 viên nén) ngày 3 lần trong ngày bắt đầu từ ngày đầu tiên của giai đoạn những ngày ra nhiều.  Thận trọng khi dùng thuốc: Những bệnh nhân có huyết khối (huyết khối não, nhồi máu cơ tim, viêm tĩnh mạch huyết khối, v.v) và ở những bệnh nhân huyết khối có thể xảy ra (nó có thể ổn định huyết khối). Những bệnh nhân có bệnh đông máu do dùng thuốc (đồng thời sử dụng với heparin, v.v.) (nó có thể ổn định huyết khối). Những bệnh nhân hậu phẫu, bệnh nhân nằm bất động và bệnh nhân đang được băng bó cầm máu. Chứng huyết khối tĩnh mạch có thể xảy ra, và Transamin có thể ổn định huyết khối. Có báo cáo về tắc mạch phổi liên quan đến thay đổi tư thế nằm hoặc tháo băng cầm máu. Những bệnh nhân suy thận (có thể tăng nồng độ máu). Những bệnh nhân có tiền sử quá mẫn với thuốc. Acid Tranexamic cần được sử dụng thận trọng khi dùng kèm với estrogen vì có thể gây huyết khối nhiều hơn. Đối với người cao tuổi: nên có những biện pháp giảm liều có giám sát một cách thận trọng. Dùng cho trẻ nhỏ, bệnh nhân mạn tính: Chưa có dữ liệu về an toàn. Các loại khác: Đã có những báo cáo về những sự thay đổi về võng mạc khi những liều lớn được áp dụng cho chó trong thời gian dài.";1;1;1
FERROVIT;FERROVIT;Vitamin B12 162mg, Vitamin B9;"Điều trị bệnh thiếu máu do thiếu sắt ở phụ nữ có thai, trẻ em, thanh thiếu niên, hay người lớn bị chảy máu bên trong; dự phòng thiếu sắt và acid folic ở trẻ em, thiếu nữ tại các giai đoạn hành kinh, phụ nữ trong độ tuổi sinh đẻ bị mất máu và phụ nữ mang thai.  Tác dụng không mong muốn (Tác dụng phụ)
Buồn nôn, ban da, nôn, tiêu chảy, đau thượng vị, hoặc đỏ mặt và tứ chi, táo bón, phân đen là những phản ứng phụ thường gặp ở các chế phẩm bổ sung sắt.";1;1;1
Pantoprazol (Dogastrol (Pantoprazol)) 40mg;Dogastrol 40 mg;Pantoprazol;"Chỉ định:

- Bệnh trào ngược dạ dày-thực quản (GERD).
- Loét đường tiêu hóa.
- Phòng ngừa loét do thuốc kháng viêm không steroid.
- Tình trạng tăng tiết bệnh lý (hội chứng Zollinger-Ellison).

DƯỢC LỰC

Pantoprazol là thuốc ức chế bơm proton, ức chế giai đoạn cuối trong quá trình tạo thành acid ở dạ dày bằng liên kết đồng hóa trị với hệ men (H+, K+)-ATPase tại bề mặt tiết của tế bào thành dạ dày. Cơ chế này dẫn đến ức chế cả hai cơ chế tiết acid dạ dày thông thường và do các tác nhân kích thích. Sự gắn kết với hệ men (H+, K+)-ATPase sẽ làm tác dụng kháng tiết acid kéo dài hơn 24 giờ cho tất cả các liều đã được thử nghiệm.

DƯỢC ĐỘNG HỌC

Nồng độ đỉnh của pantoprazol trong huyết tương đạt được khoảng 2-2,5 giờ sau khi uống. Khoảng 98% pantoprazol gắn kết với protein huyết tương. Thuốc được chuyển hóa rộng rãi ở gan, chủ yếu qua cytochrom P450 isoenzym CYP2C19, thành desmethylpantoprazol; một lượng nhỏ cũng được chuyển hóa bởi CYP3A4, CYP2D6 và CYP2C9. Các chất chuyển hóa được đào thải chủ yếu (khoảng 80%) qua nước tiểu, phần còn lại được thải trừ qua mật. Thời gian bán thải sau cùng khoảng 1 giờ, kéo dài hơn ở bệnh nhân suy gan, khoảng 3-6 giờ ở bệnh nhân xơ gan.

Liều lượng - Cách dùng
Hội chứng trào ngược dạ dày - thực quản (GERD)
Liều thường dùng: 20-40 mg x 1 lần/ ngày trong 4 tuần, có thể kéo dài đến 8 tuần.
Liều duy trì: 20-40 mg mỗi ngày.
Trường hợp tái phát: 20 mg/ngày.
Loét đường tiêu hóa
Liều thường dùng: 40 mg x 1 lần/ngày. Thời gian điều trị từ 2-4 tuần đối với loét tá tràng hoặc 4-8 tuần đối với loét dạ dày lành tính.
Diệt Helicobacter pylori: Dùng phác đồ trị liệu phối hợp bộ ba 1 tuần (1-week triple therapy):  Pantoprazol 40 mg x 2 lần/ngày kết hợp với clarithromycin 500 mg x 2 lần/ngày và amoxicillin 1 g x 2 lần/ngày hoặc metronidazol 400 mg x 2 lần/ngày.
Phòng ngừa loét do thuốc kháng viêm không steroid
20 mg/ngày.
Hội chứng Zollinger - Ellison
Liều khởi đầu: 80 mg/ngày. Có thể dùng liều lên đến 240 mg/ngày. Nếu dùng trên 80 mg/ngày, nên chia làm 2 lần.
Bệnh nhân suy gan
Liều tối đa: 20 mg/ngày hoặc 40 mg/ngày đối với liều cách ngày.

Bệnh nhân suy thận
Liều tối đa: 40 mg/ngày.

Uống ngày một lần vào buổi sáng. Nuốt nguyên viên, không được nghiền hoặc nhai.
Chống chỉ định:
Quá mẫn với pantoprazol, với bất kỳ thành phần nào của thuốc hoặc dẫn xuất benzimidazol khác (như esomeprazol, lansoprazol, omeprazol, rabeprazol).
Tương tác thuốc:
* Thuốc có độ hấp thu phụ thuộc pH của dạ dày: Về mặt lý thuyết, khả năng tương tác dược động học khi dùng đồng thời pantoprazol với các thuốc có độ hấp thu phụ thuộc pH của dạ dày (như ampicillin ester, muối sắt, ketoconazol); có thể làm tăng hoặc giảm độ hấp thu của thuốc khi tăng pH của dạ dày. 
* Thuốc tác động lên hệ thống men gan: Pantoprazol chuyển hóa rộng rãi ở gan, chủ yếu qua cytochrom P-450 (CYP) isoenzym 2C19, chuyển hóa ít hơn qua isoenzym CYP3A4, CYP2D6 và CYP2C9. Tuy nhiên, thử nghiệm lâm sàng cho thấy không có tương tác có ý nghĩa lâm sàng quan trọng giữa pantoprazol và các thuốc khác chuyển hóa qua cùng isoenzym. 
* Warfarin: Có khả năng tăng chỉ số INR và thời gian prothrombin khi dùng đồng thời warfarin với các thuốc ức chế bơm proton, kể cả pantoprazol. Nguy cơ về chảy máu bất thường và tử vong; cần theo dõi sự tăng chỉ số INR và thời gian prothrombin khi pantoprazol được dùng đồng thời với warfarin. 
* Sucralfat: Có thể làm chậm hấp thu và giảm sinh khả dụng của các thuốc ức chế bơm proton (như lansoprazol, omeprazol); nên uống thuốc ức chế bơm proton ít nhất 30 phút trước khi dùng sucralfat.
Tác dụng phụ:
Nhìn chung, pantoprazol dung nạp tốt ngay cả khi điều trị ngắn hạn và dài hạn. Các thuốc ức chế bơm proton làm giảm độ acid ở dạ dày, có thể tăng nguy cơ nhiễm khuẩn đường tiêu hóa. 
Thường gặp 

Mệt mỏi, đau đầu. 
Ban da, mày đay. 
Đau cơ, đau khớp. 
Ít gặp 

Suy nhược, choáng váng, chóng mặt. 
Ngứa. 
Tăng enzym gan. 
Hiếm gặp 

Toát mồ hôi, phù ngoại biên, tình trạng khó chịu, phản vệ. 
Ban dát sần, mụn trứng cá, rụng tóc, viêm da tróc vảy, phù mạch, hồng ban đa dạng. 
Viêm miệng, ợ hơi, rối loạn tiêu hóa. 
Nhìn mờ, chứng sợ ánh sáng. 
Mất ngủ, ngủ gà, tình trạng kích động hoặc ức chế, ù tai, run, nhầm lẫn, ảo giác, dị cảm. 
Tăng bạch cầu ưa acid, mất bạch cầu hạt, giảm bạch cầu, giảm tiểu cầu. 
Liệt dương. 
Đái máu, viêm thận kẽ. 
Viêm gan, vàng da, bệnh não ở người suy gan, tăng triglycerid. 
Giảm natri máu.
Chú ý đề phòng:
Điều trị lâu dài: Sử dụng các thuốc ức chế bơm proton, đặc biệt khi dùng liều cao và trong thời gian dài (> 1 năm), có thể làm tăng nhẹ nguy cơ gãy xương hông, cổ tay và xương sống, chủ yếu xảy ra ở người già hoặc khi có các yếu tố nguy cơ khác. 
Các nghiên cứu quan sát cho thấy các thuốc ức chế bơm proton làm tăng nguy cơ gãy xương từ 10 đến 40%, vài trường hợp có thể do các yếu tố khác. 
Bệnh nhân có nguy cơ loãng xương phải được chăm sóc theo hướng dẫn lâm sàng hiện hành và cần bổ sung đầy đủ vitamin D và calci. 
Đã có báo cáo hạ magnesi huyết nặng trên bệnh nhân điều trị với các thuốc ức chế bơm proton trong ít nhất 3 tháng và hầu hết các trường hợp điều trị khoảng 1 năm. Các triệu chứng của hạ magnesi huyết nặng có thể xảy ra như mệt mỏi, co cứng cơ, mê sảng, co giật, choáng váng và loạn nhịp thất nhưng các triệu chứng trên có thể xảy ra âm ỉ và không được chú ý đến. Ở phần lớn các bệnh nhân bị hạ magnesi huyết, tình trạng bệnh được cải thiện sau khi bổ sung magnesi và ngưng dùng các thuốc ức chế bơm proton. 
Nên lưu ý đo nồng độ magnesi trước khi bắt đầu điều trị và định kỳ trong khi điều trị cho những bệnh nhân cần điều trị lâu dài hoặc phải dùng thuốc ức chế bơm proton đồng thời với digoxin hay những thuốc gây hạ magnesi huyết (ví dụ thuốc lợi tiểu). 
Tác động trên hệ tiêu hóa: Việc đáp ứng triệu chứng khi điều trị với pantoprazol không ngăn sự tiến triển của khối u dạ dày. 
Cần loại trừ khả năng loét đường tiêu hóa ác tính trước khi dùng thuốc vì pantoprazol có thể che lấp triệu chứng do đó làm muộn chẩn đoán. 
Tác động trên gan: Đã có báo cáo về tăng nhẹ và thoáng qua ALT (SGPT) huyết thanh khi điều trị với pantoprazol đường uống. 
Kém hấp thu cyanocobalamin 
Giảm acid dịch vị hoặc chứng thiếu toan dịch vị do điều trị hằng ngày với các thuốc ức chế tiết acid trong thời gian dài (hơn 3 năm) có thể làm giảm hấp thu cyanocobalamin. 
Tính an toàn và hiệu quả của thuốc ở trẻ em dưới 18 tuổi chưa được thiết lập. 
Chưa có các nghiên cứu đầy đủ và có kiểm soát pantoprazol trên phụ nữ mang thai. Phụ nữ đang trong thai kỳ không nên dùng pantoprazol ngoài trừ trường hợp thật cần thiết. 
Thuốc được phân bố trong sữa mẹ, ngưng cho con bú hoặc ngưng dùng thuốc do các nguy cơ tiềm ẩn cho trẻ bú mẹ. 
Thuốc có thể gây tác dụng phụ như choáng váng và rối loạn thị giác. Nếu xảy ra các tác dụng phụ này, bệnh nhân không nên lái xe hay vận hành máy móc. ";1;1;1
